Date,Time,CAGE_1,CAGE_2,CAGE_3,CAGE_4,CAGE_5,CAGE_6,CAGE_7,CAGE_8,CAGE_9,CAGE_10,CAGE_11,CAGE_12,Room
04/29/2022,14:35:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:36:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:37:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:38:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:39:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:40:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:41:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:42:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:43:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:44:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
04/29/2022,14:45:00,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1,-1*/-1
